,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
81,2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,1,"2,600",600 to 700,Oct-19,2020-01-22 02:07:07.341411
82,2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,400",800 to 900,Oct-19,2020-01-22 02:07:07.373421
83,21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,4,"13,000",>3000,Dec-19,2020-01-22 02:07:07.585228
84,21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"9,000",1900 to 2000,Nov-19,2020-01-22 02:07:07.632237
85,21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"9,000",1900 to 2000,Oct-19,2020-01-22 02:07:07.648238
86,21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"11,000",>3000,Oct-19,2020-01-22 02:07:07.675209
87,24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-landed Properties,2,"2,800",600 to 700,Nov-19,2020-01-22 02:07:08.817252
88,24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-landed Properties,2,"3,000",600 to 700,Nov-19,2020-01-22 02:07:08.847747
89,24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-landed Properties,2,"2,900",400 to 500,Oct-19,2020-01-22 02:07:08.862751
90,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,500",600 to 700,Dec-19,2020-01-22 02:07:09.855345
91,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,550",500 to 600,Dec-19,2020-01-22 02:07:09.901233
92,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,700",500 to 600,Dec-19,2020-01-22 02:07:09.925143
93,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,800",600 to 700,Dec-19,2020-01-22 02:07:09.953146
94,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,500",400 to 500,Dec-19,2020-01-22 02:07:09.993790
95,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,450",400 to 500,Dec-19,2020-01-22 02:07:10.018534
96,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"3,100",600 to 700,Nov-19,2020-01-22 02:07:10.057535
97,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,900",600 to 700,Nov-19,2020-01-22 02:07:10.085538
98,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,400",400 to 500,Nov-19,2020-01-22 02:07:10.139695
99,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,600",400 to 500,Nov-19,2020-01-22 02:07:10.163667
100,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,400",400 to 500,Nov-19,2020-01-22 02:07:10.204564
101,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,450",400 to 500,Nov-19,2020-01-22 02:07:10.227569
102,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,500",400 to 500,Nov-19,2020-01-22 02:07:10.266244
103,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,700",500 to 600,Nov-19,2020-01-22 02:07:10.294246
104,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,800",500 to 600,Nov-19,2020-01-22 02:07:10.319521
105,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"4,000",700 to 800,Nov-19,2020-01-22 02:07:10.356523
106,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,800",600 to 700,Nov-19,2020-01-22 02:07:10.409022
107,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,600",400 to 500,Oct-19,2020-01-22 02:07:10.433028
108,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,400",400 to 500,Oct-19,2020-01-22 02:07:10.457030
109,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,400",400 to 500,Oct-19,2020-01-22 02:07:10.480964
110,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,500",400 to 500,Oct-19,2020-01-22 02:07:10.530968
111,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,400",400 to 500,Oct-19,2020-01-22 02:07:10.556970
112,26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,600",400 to 500,Oct-19,2020-01-22 02:07:10.584975
